2025-03-10 00:27:59 [DEBUG] hp16c: Pushed 6400, stack=[6400, 400, 0.0, 0.0]
2025-03-10 00:28:00 [DEBUG] hp16c: Popped 6400, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:28:00 [DEBUG] hp16c: Pushed 12800, stack=[12800, 400, 0.0, 0.0]
2025-03-10 00:28:03 [DEBUG] hp16c: Popped 12800, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:28:03 [DEBUG] hp16c: Pushed 25600, stack=[25600, 400, 0.0, 0.0]
2025-03-10 00:28:06 [DEBUG] hp16c: Popped 25600, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:28:06 [DEBUG] hp16c: Pushed -14336, stack=[-14336, 400, 0.0, 0.0]
2025-03-10 00:29:08 [DEBUG] hp16c: Pushed 200, stack=[200, 0.0, 0.0, 0.0]
2025-03-10 00:29:10 [DEBUG] hp16c: Popped 200, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:10 [DEBUG] hp16c: Pushed 400, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:29:12 [DEBUG] hp16c: Popped 400, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:12 [DEBUG] hp16c: Pushed 800, stack=[800, 0.0, 0.0, 0.0]
2025-03-10 00:29:13 [DEBUG] hp16c: Popped 800, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:13 [DEBUG] hp16c: Pushed 1600, stack=[1600, 0.0, 0.0, 0.0]
2025-03-10 00:29:14 [DEBUG] hp16c: Popped 1600, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:14 [DEBUG] hp16c: Pushed 3200, stack=[3200, 0.0, 0.0, 0.0]
2025-03-10 00:29:16 [DEBUG] hp16c: Popped 3200, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:16 [DEBUG] hp16c: Pushed 6400, stack=[6400, 0.0, 0.0, 0.0]
2025-03-10 00:29:17 [DEBUG] hp16c: Popped 6400, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:17 [DEBUG] hp16c: Pushed 12800, stack=[12800, 0.0, 0.0, 0.0]
2025-03-10 00:29:18 [DEBUG] hp16c: Popped 12800, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:18 [DEBUG] hp16c: Pushed 25600, stack=[25600, 0.0, 0.0, 0.0]
2025-03-10 00:29:20 [DEBUG] hp16c: Popped 25600, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:20 [DEBUG] hp16c: Pushed -14336, stack=[-14336, 0.0, 0.0, 0.0]
2025-03-10 00:29:39 [DEBUG] hp16c: Popped -14336, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:29:39 [DEBUG] hp16c: Pushed -28670, stack=[-28670, 0.0, 0.0, 0.0]
