[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [0, 0, 0.0, 0.0]
[PUSH] Stack state: [100, 0, 0, 0.0]
[PUSH] Stack state: [55, 100, 0, 0]
[POP] Stack state: [100, 0, 0, 0.0]
[POP] Stack state: [0, 0, 0.0, 0.0]
[PUSH] Stack state: [5500, 0, 0, 0.0]
[PUSH] Stack state: [-4913, 5500, 0, 0]
[PUSH] Stack state: [15, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [0, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [55, 0.0, 0.0, 0.0]
[PUSH] Stack state: [2, 55, 0.0, 0.0]
[POP] Stack state: [55, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [110, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [0, 0.0, 0.0, 0.0]
